_id,name,doing_business_as,pan_number,mobile_number,email_id,account_number,account_name,user_name,status,stage,created_date,merchant_settlement_level,is_instant_settlement,merchant_category,merchant_subcategory,business_registered_org,is_vat,user_profile,merchant_registration_type,reg_mode,business_type,settlement_level,data_synced_date,remarks,branch_code,branch_name,province,district,municipality,tole,created_approve_date,modified_date,approved_date,approved_by,modified_by,is_pan_registered,introduced_by,business_registration_no,updated_at
43968,HIMAL DAIRY PRODUCTS PVT. LTD.,HIMAL DAIRY PRODUCTS PVT. LTD.,PAN931349773,-9899755984,himaldairyproducts393@outlook.com,FA5129878673917499,HIMAL DAIRY PRODUCTS PVT. LTD.,-9899755984,ACTIVE,APPROVED,2020-03-04T12:59:49,1,False,Retail Outlets,Grocery & Dairy,Department of commerce,False,Merchant Default,QR,BANK,Public Ltd,1,,Merchant Approved,F1,Kothihawa,State-5,Rupandehi,Tilottama MC,TILOTTAMA 14,2020-03-06T13:21:42,,2020-03-06T13:21:42,,,,KOTHIHAWA BRANCH,2457,2024-08-07 05:23:35.904
8650,DLYTICA ACADEMY,DLYTICA ACADEMY,PAN200433423,-9833053483,dlyticaacademy500@outlook.com,FA7983505380425436,DLYTICA ACADEMY,-9833053483,ACTIVE,APPROVED,2019-04-25T11:39:49,1,False,Professional Services and Membership,School/Colleges/ Universities,Rural/Municipality,False,Merchant Default,QR,BANK,Sole Proprietor,1,,Merchant Approved,E6,Dumre,State-3,Kathmandu,Kathmandu MP,BANDIPUR,2019-04-28T09:53:04,,2019-04-28T09:53:04,,,,,4709/072/073,2024-08-07 05:23:35.904
306428,KAVREPALANCHOK MEDIA PVT. LTD.,KAVREPALANCHOK MEDIA PVT. LTD.,PAN871468252,-9829915866,kavrepalanchokmedia562@outlook.com,FA9003023957215959,KAVREPALANCHOK MEDIA PVT. LTD.,-9829915866,ACTIVE,APPROVED,2019-12-19T13:21:37,1,False,Miscellaneous Outlets,Communication Centre,Office of Company Register,False,Merchant Default,QR,BANK,Sole Proprietor,1,,Edited Merchant has been approved,34,Damak,State-1,Jhapa,Damak MC,DAMAK 5,2019-12-23T16:32:10,2020-04-22T17:03:58,2019-12-23T16:32:10,,,,DAMAK CHOWK BRANCH,154/10016/5/4,2024-08-07 05:23:35.904
32681,PATHIVARA LOGISTICS PVT. LTD.,PATHIVARA LOGISTICS PVT. LTD.,PAN629114031,-9847929209,pathivaralogistics755@outlook.com,FA4748279358343888,PATHIVARA LOGISTICS PVT. LTD.,-9847929209,ACTIVE,APPROVED,2020-02-24T15:02:41,1,False,Repair Services,Industries,Department of commerce,False,Merchant Default,QR,BANK,Sole Proprietor,1,,Merchant Approved,08,Bhaktapur,State-3,Bhaktapur,Bhaktapur MP,Bhulancha,2020-02-24T18:02:53,,2020-02-24T18:02:53,,,,Bhaktapur,464/067/68,2024-08-07 05:23:35.904
283430,JUMLA FOOD PRODUCTS PVT. LTD.,JUMLA FOOD PRODUCTS PVT. LTD.,PAN795534455,-9855214755,jumlafoodproducts402@outlook.com,FA7186585600099040,JUMLA FOOD PRODUCTS PVT. LTD.,-9855214755,ACTIVE,APPROVED,2019-12-06T12:09:26,1,False,Retail Outlets,Grocery & Department Store,Department of commerce,False,Merchant Default,QR,BANK,Sole Proprietor,1,,Merchant Approved,22,Birgunj,State-2,Parsa,Birgunj MP,ALKHIYA ROAD-4 BIRGUNJ,2019-12-06T14:29:45,,2019-12-06T14:29:45,,,,BIRGUNJ BRANCH,4330/029,2024-08-07 05:23:35.904
75197,SAGARMATHA CLOTHING PVT. LTD.,SAGARMATHA CLOTHING PVT. LTD.,PAN940651973,-9846899379,sagarmathaclothing663@outlook.com,FA7093825707931983,SAGARMATHA CLOTHING PVT. LTD.,-9846899379,ACTIVE,APPROVED,2021-01-31T12:13:37,1,False,clothing Outlets,Clothing Store,Department of commerce,False,Merchant Default,QR,BANK,Pvt. Ltd,1,,Merchant Approved,48,Thamel,State-3,Kathmandu,Kathmandu MP,NHYOKHA,2021-01-31T16:12:09,,2021-01-31T16:12:09,,,,THAMEL,,2024-08-07 05:23:35.904
335777,MYAGDI ENTERPRISES LTD.,MYAGDI ENTERPRISES LTD.,PAN903432729,-9822226101,myagdienterprises905@outlook.com,FA5680461078936753,MYAGDI ENTERPRISES LTD.,-9822226101,ACTIVE,APPROVED,2021-03-30T17:27:14,1,False,Retail Outlets,Enterprise,Office of Company Register,False,MERCHANT,QR,BULK,Pvt. Ltd,1,,Merchant Approved,02,Biratnagar,State-3,Kathmandu,Kathmandu MP,Kathmandu,2021-03-31T04:20:19,2022-05-30T14:32:50,2022-05-31T16:16:44,SAGARMATHA_POONAM,SAGARMATHA_TRIGENDRA,1.0,,,2024-08-07 05:23:35.904
118824,PARSA TRADING PVT. LTD.,PARSA TRADING PVT. LTD.,PAN491523472,-9811736085,parsatrading914@outlook.com,FA9853744565679913,PARSA TRADING PVT. LTD.,-9811736085,ACTIVE,APPROVED,2021-02-04T10:39:46,1,False,Retail Outlets,Repair,Office of Company Register,False,Merchant Default,QR,BULK,Sole Proprietor,1,,Edited Merchant has been approved,D2,Tarahara,State-1,Sunsari,Itahari Sub MP,ITAHARI TARAHARA,2021-02-04T10:41:01,2021-02-09T12:03:44,2021-02-04T10:41:01,,,,TARAHARA BRANCH,14323/075/076,2024-08-07 05:23:35.904
292127,RUPA SAVINGS AND CREDIT COOPERATIVE LTD.,RUPA SAVINGS AND CREDIT COOPERATIVE LTD.,PAN723809886,-9863483293,rupasavingsandcreditcooperative845@outlook.com,FA4639328509056038,RUPA SAVINGS AND CREDIT COOPERATIVE LTD.,-9863483293,ACTIVE,APPROVED,2019-12-11T18:55:07,1,False,Retail Outlets,service,Department of commerce,False,Merchant Default,QR,BANK,Public Ltd,1,,Merchant Approved,Q0,Parsyang,State-4,Kaski,Pokhara Lekhnath MP,"POKHARA-5,PARSYANG",2019-12-12T11:13:57,,2019-12-12T11:13:57,,,,PARSYANG BRANCH,997/2073/074,2024-08-07 05:23:35.904
122578,SYANGJA FOOTWEAR PVT. LTD.,SYANGJA FOOTWEAR PVT. LTD.,PAN392428656,-9863200191,syangjafootwear282@outlook.com,FA1491515342785562,SYANGJA FOOTWEAR PVT. LTD.,-9863200191,ACTIVE,APPROVED,2020-05-03T13:14:17,1,False,Retail Outlets,Clothing,Department of commerce,False,Merchant Default,QR,BANK,Pvt. Ltd,1,,Edited Merchant has been approved,06,New Road,State-3,Kathmandu,Kathmandu MP,LAZIMPAT,2020-05-03T16:59:55,2021-06-13T16:37:10,2020-05-03T16:59:55,,,,NEW ROAD BISHAL BAZAR BRANCH,17/2/2044,2024-08-07 05:23:35.904
115625,DLYTICA HOSPITAL PVT. LTD.,DLYTICA HOSPITAL PVT. LTD.,PAN888268690,-9878494777,dlyticahospital731@outlook.com,FA3257804432259527,DLYTICA HOSPITAL PVT. LTD.,-9878494777,ACTIVE,APPROVED,2021-02-03T22:44:04,1,False,Government Service,Government Services (Not Elsewhere Classified,Rural/Municipality,False,Merchant Default,QR,BULK,Pvt. Ltd,1,,Edited Merchant has been approved,68,Hetauda,State-3,Makwanpur,Hetauda Sub MP,GOPALI,2021-02-03T22:50:36,2021-02-04T15:33:41,2021-02-03T22:50:36,,,,Hetauda,189492,2024-08-07 05:23:35.904
101296,MANASLU HOSPITALITY PVT. LTD.,MANASLU HOSPITALITY PVT. LTD.,PAN280369345,-9892029057,manasluhospitality709@outlook.com,FA2922467209225100,MANASLU HOSPITALITY PVT. LTD.,-9892029057,ACTIVE,APPROVED,2021-02-03T09:29:49,1,False,Government Service,Government Services (Not Elsewhere Classified),Rural/Municipality,False,Merchant Default,QR,BANK,Sole Proprietor,1,,Merchant Approved,V7,Pharping,State-3,Kathmandu,Daxinkali MC,Dakshinkali,2021-02-03T09:39:10,,2021-02-03T09:39:10,,,,PHARPING,83325,2024-08-07 05:23:35.904
