cro_aid,cro_pan,cro_code,cro_acc_code,cro_cus_code,cro_tran_mcc,cro_tran_code,cro_tran_curr_code,updated_at
,1234560002452489,530012,919185,1251895,,,,2024-08-07 07:03:55.054
,1234560004467345,534440,1020535,1789419,,,,2024-08-07 07:03:55.054
,1234560007805459,576359,685879,1189793,,,,2024-08-07 07:03:55.054
,1234569990588527,599126,798601,1550076,,,,2024-08-07 07:03:55.054
,1234560009196568,616285,809273,1431295,,,,2024-08-07 07:03:55.054
,1234560002649597,632027,979625,1291988,,,,2024-08-07 07:03:55.054
,1234560012298419,638259,873023,1814727,,,,2024-08-07 07:03:55.054
,1234560011959458,752241,1404407,1949098,,,,2024-08-07 07:03:55.054
,1234569991110883,753993,1478359,2161658,,,,2024-08-07 07:03:55.054
,1234560003112314,798880,885145,1447942,,,,2024-08-07 07:03:55.054
,1234560009725739,1030194,2316325,911730,,,,2024-08-07 07:03:55.054
,1234560010694155,1152681,1961143,1071332,,,,2024-08-07 07:03:55.054
,1234560006478423,1248051,2037346,2364531,,,,2024-08-07 07:03:55.054
,1234560008407925,1258722,798551,1448846,,,,2024-08-07 07:03:55.054
,1234560009474932,1264712,1425510,1559410,,,,2024-08-07 07:03:55.054
,1234560011992152,1286794,887451,1448270,,,,2024-08-07 07:03:55.054
,1234560013086946,1306669,2233187,868340,,,,2024-08-07 07:03:55.054
,1234560112452106,1354200,1459463,2032763,,,,2024-08-07 07:03:55.054
,1234560005583611,1408663,1678396,1417237,,,,2024-08-07 07:03:55.054
,1234560011922159,1452385,1096165,1282439,,,,2024-08-07 07:03:55.054
,1234560002568540,1637909,1760653,1303211,,,,2024-08-07 07:03:55.054
,1234560011408035,1846681,1249841,1711130,,,,2024-08-07 07:03:55.054
,1234560007668055,1866414,1729784,1021824,,,,2024-08-07 07:03:55.054
,1234560010167178,2066969,1847208,2159451,,,,2024-08-07 07:03:55.054
,1234569992046037,2087570,2233187,868340,,,,2024-08-07 07:03:55.054
,1234560013086946,2194870,2438638,2507599,,,,2024-08-07 07:03:55.054
,1234560112452106,2310676,2555084,2624525,,,,2024-08-07 07:03:55.054
,1234569994333664,2374794,2620002,2688564,,,,2024-08-07 07:03:55.054
