cif_id,orgkey,cust_first_name,cust_middle_name,cust_last_name,cust_dob,cust_type,gender,marital_status,education,pan,email,preferredphone,cin,fax,ssn,url,zip,city,flg1,flg2,flg3,name,notes,phone,state,alert1,alert2,alert3,dsa_id,gcifid,rating,region,sector,status,tmdate,amount1,amount2,amount3,amount4,amount5,amount6,amount7,amount8,amount9,bank_id,boaclid,corp_id,country,dtdate1,dtdate2,dtdate3,dtdate4,dtdate5,dtdate6,dtdate7,dtdate8,dtdate9,duedate,groupid,intwfid,isdummy,manager,negated,orgname,orgtype,siccode,tds_tbl,xmldata,addname1,addname2,addname3,addname4,addname5,amount10,amount11,amount12,category,checksum,fax_home,idtyper1,idtyper2,idtyper3,idtyper4,idtyper5,industry,isrouted,kyc_date,slalevel,spouseid,uniqueid,accountid,assistant,backendid,birth_day,custclass,cust_hlth,esc_level,extension,intfield1,intfield2,intfield3,intfield4,intfield5,iscorprep,licenseno,name_alt1,nick_name,parentorg,pref_code,processid,psprt_det,purgeflag,secure_id,staffflag,stagename,startdate,strfield1,strfield2,strfield3,strfield4,strfield5,strfield6,strfield7,strfield8,strfield9,subsector,suspended,tds_cifid,userflag1,userflag2,userflag3,userflag4,assignedto,birth_year,competitor,crncy_code,email_home,email_palm,escrulenum,hshlduflag,ismcedited,istampered,maidenname,namesuffix,occupation,ownergroup,passportno,persontype,phone_cell,phone_home,ratingdate,riskrating,routedtime,salutation,short_name,strfield10,strfield11,strfield12,strfield13,strfield14,strfield15,strfield16,strfield17,strfield18,strfield19,strfield20,strfield21,strfield22,subsegment,accounttype,birth_month,blacklisted,bocreatedby,card_holder,currentstep,dateofdeath,designation,extensionid,householdid,lead_source,mother_name,numofnegesc,numofposesc,oldentityid,otuoldcifid,owneduserid,phone_home2,rating_code,rm_group_id,sector_code,status_code,tatduration,tds_cust_id,tfpartyflag,autoapproval,bomodifiedby,core_cust_id,corprepcount,created_from,esc_due_time,fatcaremarks,groupid_code,introducerid,mluserfield1,mluserfield2,mluserfield3,mluserfield4,mluserfield5,mluserfield6,mluserfield7,mluserfield8,mluserfield9,placeofbirth,prioritycode,procesclevel,purgeremarks,recordstatus,revenueunits,routerulenum,submitforkyc,tabvalidator,tds_tbl_code,tickersymbol,uniqueidtype,accessownerbc,address_line1,address_line2,address_line3,annualrevenue,bodatecreated,createduserid,currnumnegesc,currnumposesc,customerminor,customertrade,cust_language,enable_alerts,futureprocess,householdname,internalscore,introd_status,intuserfield1,intuserfield2,intuserfield3,intuserfield4,intuserfield5,manualrouting,mluserfield10,mluserfield11,negated_notes,oldentitytype,photograph_id,preferredname,previous_name,processstatus,segupdatedate,seniorcitizen,struserfield1,struserfield2,struserfield3,struserfield4,struserfield5,struserfield6,struserfield7,struserfield8,struserfield9,suspend_notes,tertiaryrm_id,add1_last_name,add2_last_name,add3_last_name,add4_last_name,add5_last_name,bodatemodified,concurdetect_x,converted_date,countryofbirth,customernreflg,cust_community,cust_hlth_code,cust_type_code,dateuserfield1,dateuserfield2,dateuserfield3,dateuserfield4,dateuserfield5,delinquencyflg,dual_last_name,introducername,kyc_reviewdate,lasteditedpage,manageropinion,nativelangcode,nativelangname,negated_reason,physical_state,preferredemail,primary_sol_id,procescduetime,processgroupid,proofofageflag,psprt_exp_date,routeruleforbc,secondaryrm_id,securityglhint,securityguhint,securityilhint,securityiuhint,stopescalation,strfield6_alt1,struserfield10,struserfield11,struserfield12,struserfield13,struserfield14,struserfield15,struserfield16,struserfield17,struserfield18,struserfield19,struserfield20,struserfield21,struserfield22,struserfield23,struserfield24,struserfield25,struserfield26,struserfield27,struserfield28,struserfield29,struserfield30,subsector_code,suspend_reason,uniqueidnumber,add1_first_name,add2_first_name,add3_first_name,add4_first_name,add5_first_name,assignedtogroup,blacklist_notes,chargelevelcode,currstepduedate,cust_commu_code,dual_first_name,entity_cre_flag,escalationattr1,escalationattr2,escalationattr3,incrementaldate,nativelangtitle,nat_id_card_num,nocurstepassign,occupation_code,ownedlocationid,potentialcrline,pref_code_rcode,prevstependdate,primarypersonid,salutation_code,short_name_alt1,staffemployeeid,totalcrexposure,zakat_deduction,accessowneragent,accessownergroup,add1_middle_name,add2_middle_name,add3_middle_name,add4_middle_name,add5_middle_name,assignedbyuserid,availablecrlimit,blacklist_reason,custcreationmode,deliquencyperiod,dual_middle_name,editedlocationid,enrollmentstatus,minor_guard_code,minor_guard_name,numberofproducts,psprt_issue_date,routeruleforuser,constitution_code,createdbysystemid,createdlocationid,creditbureauscore,currentcrexposure,custstatuschgdate,cust_staff_status,dateofbecomingnre,document_received,freezeproductsale,isebankingenabled,lastoperperformed,lastsubmitteddate,onetime_oldcustid,preferredcalendar,relationshipmgrid,relationshipvalue,relationship_type,routeruleforgroup,short_name_native,accessownersegment,assignedlocationid,dateofnotification,defaultaddresstype,firstbcassignownid,firstgrassignownid,introd_status_code,maidennameofmother,modifiedbysystemid,nrebecomingorddate,oldentitycreatedon,preferredchannelid,preferredemailtype,preferredphonetype,proofofagedocument,relationshipfield1,relationshipfield2,relationshipfield3,relationshipoffer1,relationshipoffer2,relationship_level,risk_profile_score,segmentation_class,short_name_native1,stopprocescalation,accessassigneeagent,core_introd_cust_id,cust_last_name_alt1,cust_pref_till_date,father_husband_name,introducername_alt1,issmsbankingenabled,iswapbankingenabled,nativelangcode_code,transferredbyuserid,asset_classification,combinedstatementflg,cust_first_name_alt1,cust_health_ref_code,cust_swift_code_desc,defaultchannel_alert,firstuserassignownid,introducersalutation,introducerstatuscode,minorattainmajordate,nativelangtitle_code,constitution_ref_code,customerprofitability,cust_last_name_native,cust_middle_name_alt1,is_swift_code_of_bank,minor_guard_name_alt1,customerrelationshipno,cust_first_name_native,cust_last_name_native1,interface_reference_id,introd_salutation_code,primary_service_centre,smsbankingmobilenumber,creditbureaudescription,creditbureaurequestdate,cust_first_name_native1,cust_middle_name_native,first_product_processor,offline_cum_debit_limit,relationshipcreatedbyid,relationshipopeningdate,alreadycreatedinebanking,creditscorerequestedflag,cust_middle_name_native1,islamic_banking_customer,lastforeigntaxreviewdate,nextforeigntaxreviewdate,risk_profile_expiry_date,sencitizenapplicabledate,sencitizenconversionflag,creditbureauscorevalidity,foreignacctaxreportingreq,foreigntaxreportingstatus,preferred_mobile_alert_no,credithistoryrequestedflag,foreigntaxreportingcountry,customer_level_provisioning,preferred_mobile_alert_type,updated_at
DLNIND5772207,R01516157,Prashanta,Babu,Thapa,1966-05-06T00:00:00.000000,INDIVIDUAL,M,FALSE,,,Prashant.babu@dlytica.com,9810288411,,,,,97700,PALPA,,,,Prashanta Babu Thapa,,,PALPA,,,,,,,LUM,,,2022-12-23T19:20:04,,,,,,,,,,1,,,NP,,,,,,,,,,,R01516157,,N,FINADM,N,,Account,,TAX6,,,,,,,,,,,,,,,,,,,,,SLA1,,391035/841,5180871,,,6,,,,,,,,,,N,,,,,PSAGR,,,N,,N,,2021-10-18T18:24:10,,,,,,,,,,,N,,,,,,,1966,,,,,,,,N,,,RETIR,,,,9.77985E+12,,,LRISK,,MR,JIBAN BAHA,,,,,,,,,,,,,,Sub Class A,,5,N,7,,,,,,,,,,,,,1,,,,,OTH,,,N,,2,RC1516270,,,,,,,,,,,,,,,,,,,LOW ANNUAL TRANSACTION,A,,,,Retail_Customer_GE=Y|Retail_Customer_DE=Y,,,IDTypeR7,1,MEHELDHARA,,TANSEN MUNICIPALITY,,2021-10-18T18:24:10,7,,,N,,INFENG,N,,,,,,,,,,,,,,,,JIBAN BAHADUR,,,,N,,,,,,,,,,,,,,,,,2021-10-18T18:24:10,3,,,N,HINDU,,,,,,,,,,,,Normal,,INFENG,,,Y,JIBANPAUDEL640@GMAIL.COM,90,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HINDU,,Y,,,,2021-10-18T18:24:10,,,,,,,,,,,,,,,400138,19,,,,,,,,,,,,,,,,,,,INDIV,CRM,1,,,,,,N,,N,C,,,,7,,,,,Preferential Banking,,,Mailing,,,,RETIRED,,,,,COMMEML,CELLPH,,,,,,,,,CLSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-17T00:00:00.000000,,,,,,,,2026-05-06T00:00:00.000000,,,,,,,,,,29:18.6
DLNIND1480967,R01651971,sandal,,Tandukar,1993-02-28T00:00:00.000000,INDIVIDUAL,M,TRUE,,,sandil.tandukar@dlytica.com,9861396794,,,,,97700,LALIT,,,,sandal Tandukar,,,LALIT,,,,,,,BAG,,,2024-01-30T17:32:19,,,,,,,,,,1,,,NP,,,,,,,,,,,R01651971,,N,FINADM,N,,Account,,TAX6,,,,,,,,,,,,,,,,,,,,,SLA1,,07/071016/1332,5530284,,,28,,,,,,,,,,N,,,,,EDCOL,,,N,,N,,2024-01-30T17:32:19,,,,,,,,,,,N,,,,,,,1993,,,,,,,Y,N,,,ENGIN,,,,9.77985E+12,,,LRISK,,MR,BINOD,,,,,,,,,,,,,,Sub Class A,,2,N,7,,,,,,,,,,,,,1,,,,,OTH,,,N,,403716,RC1652084,,A,,,,,,,,,,,,,,,,,TRANSACTION VOLUME,A,,,N,Retail_Customer_GE=Y|Retail_Customer_DE=Y,,,IDTypeR7,1,TALCHIKHEL,,LALITPUR METROPOLITIAN CITY,,2022-01-11T18:32:28,7,,,N,,INFENG,N,,,,,,,,,,,,,,,,BINOD,,,,N,,,,,,,,,,,,,,,,,2024-01-30T17:32:19,5,,,N,HINDU,,6.1,,,,,,,,,,Normal,,INFENG,,,Y,BINODRAYEE@GMAIL.COM,26,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HINDU,,Y,,,,2024-01-30T17:32:19,,,,,,,,,,,,,,,400138,19,,,,,,,,,N,,,400000,,,,,,,INDIV,CRM,1,,,,,,N,,N,E,2024-01-30T17:31:22,,,7,,,,,Preferential Banking,,,Mailing,,,,ENGINEERING,,,,,COMMEML,CELLPH,,,,,,,,,CLSA,,,,,,,,,N,N,,,,,,,,,,,,,,INDIV,,,,,,,,,,,,,,,,,,,402146,2022-01-10T00:00:00.000000,,,,N,,,,2053-02-28T12:00:00.000000,,,,,,,,,,29:18.6
DLNIND8291530,R09396490,sirish,,Poudel,2013-01-09T00:00:00.000000,INDIVIDUAL,M,TRUE,,,sirish.poudel@dlytica.com,9861632577,,,,,12345,BIRTA,,,,sirish poudel,,,JHAPA,,,,,,GOOD,MEC,,OTH,2022-12-23T19:20:04,,,,,,,,,,1,,,NP,,,,,,,,,,,,,N,FINADM,N,,Account,,TAX6,,,,,,,,,,,,,,,,,,,,,,,634,437264,,,9,,NORMA,,,,,,,0,N,,,,,,,,N,,N,,,,,,,,,,,,,N,,,,,,,2013,,NPR,,,,,,,,,STUDE,,,,,,2015-09-27T00:00:00.000000,LRISK,,MR,AJAY BABU,,,,,,,,,,,,,,Sub Class A,,1,N,401462,,,,,,,,,,,,R09396490,2,,GOOD,,,OTH,,,N,,400972,9396490,,,,,NGRP,R09127411,,,,,,,,,,,LRISK,,"LOW RISK, KYC UPDATED",A,,,,Retail_Customer_GE=Y|Retail_Customer_DE=Y,,,National Card Number,400005,"BIRTAMOD-01, JHAPA",JHAPA,,,2015-09-27T17:01:31,1,,,Y,,INFENG,N,,,,WALK,,,,,,,,,,,,AJAY BABU SHRESTHA,,,,N,,,,,,,,,,,,,,,,,2015-09-27T17:50:56,1,,,N,HINDU,,6.1,,,,,,,,GUNARAJ SHRESTHA,,,"LOW RISK, KYC UPDATED",INFENG,,,Y,,9,,,,,,,0,0,0,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HINDU,,Y,,,,2018-11-07T17:07:52,,634,,,,,,,,,,,,,,19,,,,,,,,,N,,,,,,,,,,INDIV,BB0991,,,,2015-09-27T00:00:00.000000,,,,,N,C,,,0,,,,,,Preferential Banking,,,Home,,,,,,,,,,COMMPH1,,,,,,,,,CLSA,,N,,9127411,,,,,,,,,,N,,NORMA,,,,MR,,,,INDIV,,,,N,,,,,,,,,,,,,,0,401462,2015-09-27T00:00:00.000000,,,,,,,,2073-01-09T00:00:00.000000,,,,,,,,,,29:18.6
DLNLEG4836124,R22132679,MANANG HOSPITALITY PVT. LTD.,,,1900-01-01T00:00:00.000000,LEGAL,,,,,mananghospitality834@outlook.com,-9835695298,,,,,0,BIRGU,,,,MANANG HOSPITALITY PVT. LTD.,,,PARSA,,,,,,SATIS,NAR,16,OTH,2022-12-23T19:20:04,0,,,,,,,,,1,,53213,NP,,,,,,,,,,,,,N,FINADM,,,,,TAX15,,,,,,,,,,,,,,,,,,,,,,,,1757077,,,,,,,,,,,,,N,,,,,,,,N,,,,,,,,,,,,,,1.5,N,,,,,,,,,NPR,,,,,,,,,,,,,,,,LRISK,,M/S,TRIVENI SY,,,,,,,,,,,,,,Sub Class A,,,,400139,,,,,,,,,,,,,2,,,,,,,,N,,403123,22132679,,,,,NGRP,,,,,,,,,,,,LRISK,,,A,,,,,TAX15,,,400000,.,,BIRGUNJ,,2013-06-25T22:29:42,2,,,,,,N,,,,KNOWB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-06T18:35:26,,,,N,,,,,,,,,,,,,,,INFENG,,,N,,22,,,,,,,0,0,0,0,N,,,,,,,,,,,,,,,,,,,,,N,,1.5,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,M/S,,,,,,19,,,,,,,,,,,,,,,,,,,PRIVA,,,,,2013-06-26T12:00:00.000000,,,,,,,,,0,,,,,,Preferential Banking,,,Registered,,,IBD,,,,,,,,,,,,,,,,Class A,,N,,,,,,,,,,,,,,,,,,,,,,PRIVA,,,,,,,,,,,,,,,,,,,,2013-06-26T00:00:00.000000,,,,N,,,,,,,,,,,,,,29:18.6
DLNIND4969800,R00580783,Veshraj,,Mainali,2000-01-01T00:00:00.000000,INDIVIDUAL,M,FALSE,,,Veshraj.Mainali@dlytica.com,9861674997,,,,,97700,,,,,Veshraj Mainali,,,SAPTA,,,,,,,BAG,,,2022-12-23T19:20:04,,,,,,,,,,1,,,NP,,,,,,,,,,,R00580783,,N,FINADM,N,,Account,,TAX6,,,,,,,,,,,,,,,,,,,,,SLA1,,BB-RR9569066,3004093,,,1,,,,,,,,,,N,,,,,PSAGR,,,N,,N,,2022-02-04T16:58:38,,,,,,,,,,,N,,,,,,,2000,,NPR,,,,,Y,N,,,STUDE,,,,9.77985E+12,,,LRISK,,MR,BBSM,,,,,,,,,,,,,,Sub Class A,,1,N,7,,,,,,,,,,,,,1,,,,,OTH,,,N,,401905,RC580768,,A,,,,,,,,,,,,,,,,,NOT AVAILABLE,A,,,N,Retail_Customer_GE=Y|Retail_Customer_DE=Y,,,IDTypeR7,1,MAHENDRA HIGHWAY,13,THELIYA,,2019-09-26T15:20:26,7,,,N,,INFENG,N,,,,,,,,,,,,,,,,BBSM,,,,N,,,,,,,,,,,,,,,,,2022-02-04T16:58:38,5,,,N,HINDU,,6.1,,,,,,,,,,Normal,,INFENG,,,Y,GRJBARAL@GMAIL.COM,S4,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HINDU,,Y,,,,2022-02-04T16:58:38,,,,,,,,,,,,,,,400138,19,,,,,,,,,N,,,1,,,,,,,INDIV,CRM,1,,,,,,N,,N,E,2022-02-04T16:40:03,,,7,,,,,Preferential Banking,,,Mailing,,,,,,,,,COMMEML,CELLPH,,,,,,,,,CLSA,,,,,,,,,N,N,,,,,,,,,,,,,,INDIV,,,,,,,,,,,,,,,,,,,424626,2019-09-06T00:00:00.000000,,,,N,,,,2060-01-01T12:00:00.000000,,,,,,,,,,29:18.6
DLNLEG5990692,C00004457,TAMOR ELECTRONICS PVT. LTD.,,,2019-02-07T00:00:00.000000,LEGAL,,,,,tamorelectronics975@outlook.com,-9827573326,,,,,.,BUTWA,,,,TAMOR ELECTRONICS PVT. LTD.,,,RUPAN,,,,,,,LUM,16,,2022-12-23T19:20:04,0,,,,,,,,,1,,76581,NP,,,,,,,,,,,C00004457,,N,FINADM,,,,,TAX15,,,,,,,,,,,,,,,,,,,,,SLA2,,,2118835,,,,,NORMA,,,,,,,,,,,,,,,,N,,,,2019-02-07T11:56:17,,,,,,,,,,16,N,,,,,,,,,NPR,,,,,,,,,,,,,,,,,,M/S,BISALPATH,,,,,,,,,,,,,,Sub Class A,,,,403716,,,,,,,,,,,,,,,,,,,,,N,,402027,CC4457,,,,,,,,,,,,,,,,,,,,A,,,,,TAX15,,,,BUTWAL,,BUTWAL,,2019-02-07T11:56:17,403716,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-07T12:21:37,1,,,,,,,,,,,,,,,,,UPABHOKTA SAMITI ACCOUNT,INFENG,,,,,P6,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,M/S,,,,,,,,,,,,,,,,,,,,,,,,,USTS,,,,,,,,,,,,,,,,,,,,,,,Registered,,,,,,,,,,,,,,,,,,,Class A,,,,,,,,,,,,,,,,,,,,,,,,USTS,,,,,,,,,,,,,,,,,,,,2019-02-07T00:00:00.000000,,,,N,,,,,,,,,,,,,,29:18.6
DLNIND4445390,19898447,Kabita,,Bhattarai,1991-06-03T00:00:00.000000,INDIVIDUAL,M,FALSE,,,kabita.bhattarai@dlytica.com,9866180896,,,,,977000,KATH,,,,Kabita Bhattarai,,,KATHM,,,,,,SATIS,BAG,,OTH,2022-12-23T19:20:04,,,,,,,,,,1,,,NP,,,,,,,,,,,19898447,,N,FINADM,N,,Account,,TAX6,,,,,,,,,,,,,,,,,,,,,SLA1,,181028/241,601691,,,3,,NORMA,,,,,,,,N,,,,,,,,N,,Y,,2020-09-18T11:35:10,,,,,,,,,,,N,,,,,,,1991,,NPR,RANJEETTHAKUR321@gmail.COM,,,,Y,N,,,BANKE,,,,9.77985E+12,9.77985E+12,2018-02-08T12:00:00.000000,LRISK,,MR,RANJEET TH,,,,,,,,,,,,,,Sub Class A,,6,N,400139,N,,,,,,,,,,,19898447,1,,SATIS,,,OTH,,,N,,2,19898447,,A,,,,R00933946,,,,,,,,,,,,,STAFF,A,,,N,Retail_Customer_GE=Y|Retail_Customer_DE=Y,,,National Card Number,400000,JUREPI GALLI-14 HN:239,,KATHMANDU METROPOLITAN CITY,,2018-02-06T18:47:56,1,,,N,,INFENG,N,,,,KNOWB,,,,,,,,,,,,RANJEET THAKUR,,,,N,,,,,,,,,,,,,,,,,2020-09-18T11:35:10,3,,,N,HINDU,,6.1,,,,,,,,STAFF ACCOUNT,,,,INFENG,,,Y,RANJEET.THAKUR@NICASIABANK.COM,1,,,,,,,0,0,0,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HINDU,,Y,,,,2020-09-18T11:35:10,SALAR,181028/241,,,,,,,,,,RT3154,,,400138,19,,,,,,,,,N,,,1,,,,,,,INDIV,SYSTEM,,,,,,,N,,N,E,2020-09-18T11:35:10,,0,,,,,,Preferential Banking,,,Mailing,,,,,,,,,COMMEML,COMMPH1,,,,,,,,,CLSA,,N,,,,,,,N,N,,,,N,,NORMA,,,,M/S,,,SALAR,INDIV,,,,N,,,,,,,,,,,,,,,400139,2018-02-06T00:00:00.000000,,,,N,,,,2051-06-03T12:00:00.000000,,,,,,,,,,29:18.6
DLNLEG5387323,R09092002,NEPAL AIRLINES LTD.,,,1900-01-01T00:00:00.000000,LEGAL,,,,,nepalairlines139@outlook.com,-9828224578,,,,,977,BAGLU,,,,NEPAL AIRLINES LTD.,,,BAGLU,,,,,,SATIS,MEC,16,OTH,2022-12-23T19:20:04,0,,,,,,,,,1,,9912,NP,,,,,,,,,,,,,N,FINADM,N,,,,TAX15,,,,,,,,,,,,,,,,,,,,,,,,1717069,,,,,,,,,,,,,N,,,,,,,,N,,,,,,,,,,,,,,11.1,N,,,,,,,,,NPR,,,,,,,,,,,,,,,,LRISK,,M/S,NEPAL,,,,,,,,,,,,,,Sub Class A,,,N,400139,,,,,,,,,,,,,2,,,,,,,,Y,,2,9092002,,,,,G0260,,,,,,,,,,,,LRISK,,,A,,,,,TAX15,,,400000,AWA ROAD,,BAGLUNG,,2013-06-25T22:27:59,2,,,,,,N,,,,KNOWB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-31T16:34:03,,,,N,,,,,,,,,,,,,,LOWER TURN OVER,INFENG,NEPAL DOORSANCHAR COMPANY LIMITED,,Y,,9,,,,,,,0,0,0,0,N,,,,,,,,,,,,,,,,,,,,,N,,11.1,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,M/S,,,,,,19,,,,,,,,,,,,,,,,,,,OTHER,,,,,2013-06-26T12:00:00.000000,,,,,,,,,0,,,,,,Preferential Banking,,,Registered,,,IBD,,,,,,,,,,,,,,,,Class A,,N,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,,,,,,,,,,,,,,,,2013-06-26T00:00:00.000000,,,,N,,,,,,,,,,,,,,29:18.6
DLNLEG2951964,C00004460,SARLAHI ENGINEERING PVT. LTD.,,,2019-02-05T00:00:00.000000,LEGAL,,,,,sarlahiengineering774@outlook.com,-9871124063,,,,,.,ILAM,,,,SARLAHI ENGINEERING PVT. LTD.,,,ILAM,,,,,,,MEC,OTHER,,2022-12-23T19:20:04,0,,,,,,,,,1,,76584,NP,,,,,,,,,,,C00004460,,N,FINADM,,,,,TAX15,,,,,,,,,,,,,,,,,,,,,SLA2,,,2118930,,,,,NORMA,,,,,,,,,,,,,,,,N,,,,2019-02-07T12:27:23,,,,,,,,,,4.2.2,N,,,,,,,,,NPR,,,,,,,,,,,,,,,,,,M/S,SUBHAM INT,,,,,,,,,,,,,,Sub Class A,,,,402868,,,,,,,,,,,,,,,,,,,,,N,,402061,CC4460,,,,,,,,,,,,,,,,,,,Low Risk,A,,,,,TAX15,,,,BIBLYATE,,ILAM MCP,,2019-02-07T12:27:23,402868,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-07T12:34:57,1,,,,,,,,,,,,,,,,,Low Risk,INFENG,,,,,5,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,4.2.2,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,M/S,,,,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,,,,,,,,,,,,,,,,,Registered,,,,,,,,,,,,,,,,,,,Class A,,,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,,,,,,,,,,,,,,2019-02-07T00:00:00.000000,,,,N,,,,,,,,,,,,,,29:18.6
DLNIND5503658,R00061514,Poshan,Bahadur,Thapa,1978-06-13T00:00:00.000000,INDIVIDUAL,M,TRUE,,,poshan769@gmail.com,-9883895839,,,,,97700,KATHM,,,,Poshan Bahadur Thapa,,,KATHM,,,,,,,BAG,,,2022-12-23T19:20:04,,,,,,,,,,1,,,NP,,,,,,,,,,,R00061514,,N,FINADM,N,,Account,,TAX6,,,,,,,,,,,,,,,,,,,,,SLA1,,24140675,1899920,,,13,,,,,,,,,,N,,,,,EDSCH,,,N,,N,,2019-02-06T17:27:53,,,,,,,,,,,N,,,,,,,1978,,NPR,,,,,Y,N,,,BUSIN,,,,9.77985E+12,,,LRISK,,MR,BIRENDRA B,,,,,,,,,,,,,,Sub Class A,,6,N,7,,,,,,,,,,,,,1,,,,,OTH,,,N,,405862,RC61499,,A,,,,,,,,,,,,,,,,,LOW INCOME,A,,,N,Retail_Customer_GE=Y|Retail_Customer_DE=Y,,,IDTypeR7,1,RATOPUL,,KATHMANDU,,2018-12-13T20:27:43,7,,,N,,INFENG,N,,,,,,,,,,,,,,,,BIRENDRA BAHADUR,,,,N,,,,,,,,,,,,,,,,,2019-02-06T17:27:53,7,,,N,HINDU,,6.1,,,,,,,,,,Normal,,INFENG,,,Y,,29,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HINDU,,Y,,,,2019-02-06T17:27:53,,,,,,,,,,,,,,,400138,19,,,,,,,,,N,,,1,,,,,,,INDIV,CRM,1,,,,,,N,,N,E,2019-02-06T16:34:42,,,7,,,,,Preferential Banking,,,Mailing,,,,,,,,,,CELLPH,,,,,,,,,CLSA,,,,,,,,,N,N,,,,,,,,,,,,,,INDIV,,,,,,,,,,,,,,,,,,,405863,2018-12-12T00:00:00.000000,,,,N,,,,2038-06-13T12:00:00.000000,,,,,,,,,,29:18.6
