cif_id,orgkey,cust_first_name,cust_middle_name,cust_last_name,preferredphone,preferredname,preferredemail,email,gender,name,pan
DLNIND4568821,R01562055,Duman,Narayan,Neupane,-9833329213,Duman Narayan Neupane,ARYALPRABAL@GMAIL.COM,duman492@gmail.com,M,Duman Narayan Neupane,PAN714271279
DLNIND7235296,R01911512,Prajina,Devi,Maharjan,-9892306612,Prajina Devi Maharjan,na@nicasiabank.com,prajina427@gmail.com,F,Prajina Devi Maharjan,PAN503838478
DLNIND1406504,R02944296,Humacanta,Bipin,Thapa,-9856817476,Humacanta Bipin Thapa,dipeshshah4000@gmail.com,humacanta862@gmail.com,M,Humacanta Bipin Thapa,PAN668645879
DLNLEG6218579,C00038863,KHOTANG FOODS PVT. LTD.,,,-9862720425,MANASLU HOSPITALITY PVT. LTD.,,khotangfoods840@outlook.com,,KHOTANG FOODS PVT. LTD.,PAN533918346
DLNIND1255130,R01651971,Adarsh,Bhakta,Lama,-9810012680,Adarsh Bhakta Lama,BINODRAYEE@GMAIL.COM,adarsh904@gmail.com,M,Adarsh Bhakta Lama,PAN331700070
DLNLEG8980703,R68384006,KALINCHOWK REAL ESTATE PVT. LTD.,,,-9837429964,,,kalinchowkrealestate968@outlook.com,,KALINCHOWK REAL ESTATE PVT. LTD.,PAN922795324
DLNIND1498614,R01786441,Keith,Bikram,Rai,-9850582125,Keith Bikram Rai,na@nicasiabank.com,keith826@gmail.com,M,Keith Bikram Rai,PAN182388122
DLNLEG9370940,C00004458,HIMAL DAIRY PRODUCTS PVT. LTD.,,,-9899755984,BIRGUNJ CHEMICALS PVT. LTD.,,himaldairyproducts393@outlook.com,,HIMAL DAIRY PRODUCTS PVT. LTD.,PAN931349773
DLNLEG8767566,I40510833,EVEREST FOOTWEAR PVT. LTD.,,,-9863342315,SUNSARI MANUFACTURING LTD.,,everestfootwear774@outlook.com,,EVEREST FOOTWEAR PVT. LTD.,PAN402958382
DLNIND9286944,019898447,Veshraj,,Mainali,9861674997,Veshraj  Mainali,Veshraj.Mainali@dlytica.com,Veshraj.Mainali@dlytica.com,M,Veshraj  Mainali,PAN140168943
DLNIND3186116,R01901393,Posraj,Bhakta,Dahal,-9894972060,Posraj Bhakta Dahal,NA@NICASIABANK.COM,posraj514@gmail.com,M,Posraj Bhakta Dahal,PAN108679158
DLNLEG5646672,C00033937,MANASLU HOSPITALITY PVT. LTD.,,,-9892029057,,,manasluhospitality709@outlook.com,,MANASLU HOSPITALITY PVT. LTD.,PAN280369345
DLNIND2287753,R01028393,Kumud,Kumari,Regmi,-9822084112,Kumud Kumari Regmi,hemantagt15@gmail.com,kumud395@gmail.com,F,Kumud Kumari Regmi,PAN167423035
DLNLEG1290799,C00004434,PYUTHAN LOGISTICS PVT. LTD.,,,-9846479864,RUPA SAVINGS AND CREDIT COOPERATIVE LTD.,,pyuthanlogistics659@outlook.com,,PYUTHAN LOGISTICS PVT. LTD.,PAN679940823
DLNIND5601256,R01901406,Rajoj,Hari,Rana,-9813378723,Rajoj Hari Rana,NA@NICASIABANK.COM,rajoj646@gmail.com,M,Rajoj Hari Rana,PAN185594326
DLNLEG5919852,C00004442,RUPA SAVINGS AND CREDIT COOPERATIVE LTD.,,,-9863483293,SUNSARI VENTURES LTD.,,rupasavingsandcreditcooperative845@outlook.com,,RUPA SAVINGS AND CREDIT COOPERATIVE LTD.,PAN723809886
DLNIND2830344,R33297804,Apsa,Devi,Adhikari,-9857074601,Apsa Devi Adhikari,arpana.nepal@gmail.com,apsa211@gmail.com,F,Apsa Devi Adhikari,PAN755710007
DLNLEG1598748,800520371,SAGARMATHA TRADERS PVT. LTD.,,,-9848709913,MANANG HYDROPOWER LTD.,,sagarmathatraders388@outlook.com,,SAGARMATHA TRADERS PVT. LTD.,PAN606494169
DLNIND7537080,R00090623,Bashuki,Maan,Neupane,-9891240526,Bashuki Maan Neupane,,bashuki760@gmail.com,M,Bashuki Maan Neupane,PAN479408245
DLNLEG3727146,R22133142,LUMBINI INTERNATIONAL PVT. LTD.,,,-9884583727,BIRATNAGAR AUTOMOBILES PVT. LTD.,,lumbiniinternational699@outlook.com,,LUMBINI INTERNATIONAL PVT. LTD.,PAN484574196
DLNIND6814583,R01084371,Krishala,Kumari,Sharma,-9898516491,Krishala Kumari Sharma,pratispandan@gmail.com,krishala796@gmail.com,F,Krishala Kumari Sharma,PAN571982938
DLNLEG5828268,R90504419,MAHENDRANAGAR CONSULTANCY PVT. LTD.,,,-9850585226,NEPAL AIRLINES LTD.,,mahendranagarconsultancy369@outlook.com,,MAHENDRANAGAR CONSULTANCY PVT. LTD.,PAN649400480
DLNIND2622447,R01516157,Prashanta,Babu,Thapa,9810288411,Prashanta Babu Thapa,Prashant.babu@dlytica.com,Prashant.babu@dlytica.com,M,Prashanta Babu Thapa,PAN288484684
DLNIND4157875,R02906784,Hrisheekesh,Dev,Khadka,-9855477634,Hrisheekesh Dev Khadka,na@nicasiabank.com,hrisheekesh654@gmail.com,M,Hrisheekesh Dev Khadka,PAN847554163
DLNIND8212211,R15483718,Tanushree,Devi,Regmi,-9874784265,Tanushree Devi Regmi,khemgyawali123@gmail.com,tanushree261@gmail.com,F,Tanushree Devi Regmi,PAN976589899
DLNIND3263104,R01592493,Prasanga,Bishal,Neupane,-9874399937,Prasanga Bishal Neupane,anjitashrestha68@gmail.com,prasanga779@gmail.com,M,Prasanga Bishal Neupane,PAN924788908
DLNIND3744151,319749297,Buddhiraj,Bibek,Thakuri,-9877815103,Buddhiraj Bibek Thakuri,NICA@FIN10MIGRA.COM,buddhiraj664@gmail.com,M,Buddhiraj Bibek Thakuri,PAN143048430
DLNIND4269310,R01266590,Bandana,Lal,Acharya,-9879375762,Bandana Lal Acharya,limbusthasabin72@gmail.com,bandana657@gmail.com,M,Bandana Lal Acharya,PAN473804509
DLNIND5676264,R02063811,Hina,Maya,Neupane,-9896750044,Hina Maya Neupane,,hina652@gmail.com,F,Hina Maya Neupane,PAN792646871
DLNLEG6465924,R01001079,BIRATNAGAR AUTOMOBILES PVT. LTD.,,,-9845095898,,,biratnagarautomobiles930@outlook.com,,BIRATNAGAR AUTOMOBILES PVT. LTD.,PAN952179235
DLNLEG5924902,R46253427,SUNSARI MANUFACTURING LTD.,,,-9875670162,,,sunsarimanufacturing849@outlook.com,,SUNSARI MANUFACTURING LTD.,PAN596302582
DLNLEG6576494,R09092002,NEPAL AIRLINES LTD.,,,-9856246804,,,nepalairlines939@outlook.com,,NEPAL AIRLINES LTD.,PAN813377590
DLNIND3986994,R00134245,Asphota,Maya,Shrestha,-9830221514,Asphota Maya Shrestha,,asphota998@gmail.com,F,Asphota Maya Shrestha,PAN141132761
DLNIND9997823,R01911516,Pranij,Lal,Karki,-9899969806,Pranij Lal Karki,na@nicasiabank.com,pranij859@gmail.com,M,Pranij Lal Karki,PAN859562290
DLNLEG7996075,C00086423,NEPAL FINANCE GROUP LTD.,,,-9827913893,,,nepalfinancegroup527@outlook.com,,NEPAL FINANCE GROUP LTD.,PAN914688823
DLNIND5576304,R01082803,Lucy,Laxmi,Regmi,-9836124138,Lucy Laxmi Regmi,,lucy858@gmail.com,F,Lucy Laxmi Regmi,PAN747150056
DLNIND3092463,R00185654,Sonali,Maya,Dahal,-9824680405,Sonali Maya Dahal,arjunshrestha@hotmail.com,sonali840@gmail.com,F,Sonali Maya Dahal,PAN217875834
DLNLEG5142567,R23114400,BHIMSEN AGRICULTURAL COOPERATIVE LTD.,,,-9858056825,,,bhimsenagriculturalcooperative107@outlook.com,,BHIMSEN AGRICULTURAL COOPERATIVE LTD.,PAN491606593
DLNLEG3709876,C00004448,KAILASH PRINTING PRESS PVT. LTD.,,,-9821451013,SURKHET AGRO CO-OP LTD.,,kailashprintingpress575@outlook.com,,KAILASH PRINTING PRESS PVT. LTD.,PAN880276201
DLNIND2129887,R01911511,Heli,Saraswati,Acharya,-9848454097,Heli Saraswati Acharya,na@nicasiabank.com,heli853@gmail.com,F,Heli Saraswati Acharya,PAN502308017
DLNLEG5063941,R30091981,SYANGJA FOOTWEAR PVT. LTD.,,,-9863200191,,,syangjafootwear282@outlook.com,,SYANGJA FOOTWEAR PVT. LTD.,PAN392428656
DLNIND4781798,A09557301,Anoj,Bahadur,Yadav,-9867092351,Anoj Bahadur Yadav,,anoj746@gmail.com,M,Anoj Bahadur Yadav,PAN960820793
DLNIND8778682,R52291857,Srija,Krishna,Lama,-9877279859,Srija Krishna Lama,,srija429@gmail.com,M,Srija Krishna Lama,PAN773963914
DLNIND6192226,R01901407,Nirvan,Bishnu,Maharjan,-9878976469,Nirvan Bishnu Maharjan,sagarnpne@gmail.com,nirvan446@gmail.com,M,Nirvan Bishnu Maharjan,PAN160990648
DLNIND1372327,R28893337,Pramil,Narayan,Adhikari,-9875219047,Pramil Narayan Adhikari,NICA@FIN10MIGRA.COM,pramil285@gmail.com,M,Pramil Narayan Adhikari,PAN729503320
DLNIND7445925,R00587212,Abid,Gopal,Khadka,-9837495485,Abid Gopal Khadka,bbsm@gmail.com,abid961@gmail.com,M,Abid Gopal Khadka,PAN409564003
DLNLEG5334058,C00004447,SUNSARI VENTURES LTD.,,,-9833628972,KAVREPALANCHOK MEDIA PVT. LTD.,,sunsariventures504@outlook.com,,SUNSARI VENTURES LTD.,PAN222576654
DLNIND9450331,R01014498,Avineak,Bishal,Pandey,-9857452601,Avineak Bishal Pandey,,avineak833@gmail.com,M,Avineak Bishal Pandey,PAN642077006
DLNIND7340765,R01700535,Timilsina,Gopal,Acharya,-9885546166,Timilsina Gopal Acharya,rupeshdas80@gmail.com,timilsina998@gmail.com,M,Timilsina Gopal Acharya,PAN370287241
DLNLEG1075920,R30090144,RUKUM CO-OP FINANCE LTD.,,,-9811400122,,,rukumco-opfinance247@outlook.com,,RUKUM CO-OP FINANCE LTD.,PAN136521569
DLNIND9910969,R00061514,Poshan,Gopal,Bhandari,-9879603002,Poshan Gopal Bhandari,,poshan218@gmail.com,M,Poshan Gopal Bhandari,PAN170015742
DLNIND7426436,R66368828,Shirish,Shankar,Timalsina,-9845592794,Shirish Shankar Timalsina,,shirish503@gmail.com,M,Shirish Shankar Timalsina,PAN849149601
DLNIND8636016,R01586586,Sammriddha,Bipin,Poudel,-9826446883,Sammriddha Bipin Poudel,nirajlamsal07@gmail.com,sammriddha346@gmail.com,M,Sammriddha Bipin Poudel,PAN455824426
DLNIND4211643,O99520992,Sriti,Kumari,Thapa,-9899660295,Sriti Kumari Thapa,KABITAB58@GMAIL.COM,sriti221@gmail.com,F,Sriti Kumari Thapa,PAN697945863
DLNIND5509870,R39939293,Girijesh,Bibek,Limbu,-9892577558,Girijesh Bibek Limbu,NICA@FIN10MIGRA.COM,girijesh608@gmail.com,M,Girijesh Bibek Limbu,PAN230636400
DLNIND7872351,R00905776,Bikalpa,Saraswati,Limbu,-9851622571,Bikalpa Saraswati Limbu,sthadinesh@gmail.com,bikalpa583@gmail.com,F,Bikalpa Saraswati Limbu,PAN839648484
DLNIND7227326,R16155515,Sunanda,Bishnu,Rai,-9886187930,Sunanda Bishnu Rai,,sunanda615@gmail.com,M,Sunanda Bishnu Rai,PAN613246502
DLNIND1550667,R01847463,Rajababu,Bishal,Dahal,-9865324745,Rajababu Bishal Dahal,na@nicasiabank.com,rajababu654@gmail.com,M,Rajababu Bishal Dahal,PAN690459021
DLNIND3781309,R00891649,Talaz,Prasad,Bhattarai,-9828198759,Talaz Prasad Bhattarai,NA@NA.COM,talaz464@gmail.com,M,Talaz Prasad Bhattarai,PAN625322405
DLNLEG9101051,C00004454,KAVREPALANCHOK MEDIA PVT. LTD.,,,-9829915866,HIMAL DAIRY PRODUCTS PVT. LTD.,,kavrepalanchokmedia562@outlook.com,,KAVREPALANCHOK MEDIA PVT. LTD.,PAN871468252
DLNIND3732980,R29977110,Sakhil,Krishna,Lama,-9813986891,Sakhil Krishna Lama,GOVIND_N_SHARMA@HOTMAIL.CO.UK,sakhil952@gmail.com,M,Sakhil Krishna Lama,PAN683139342
DLNLEG8874285,C00004449,SURKHET AGRO CO-OP LTD.,,,-9832582563,TAMOR ELECTRONICS PVT. LTD.,,surkhetagroco-op938@outlook.com,,SURKHET AGRO CO-OP LTD.,PAN406844287
DLNIND8221535,R00545118,Hena,Maya,Rai,-9846107805,Hena Maya Rai,,hena574@gmail.com,F,Hena Maya Rai,PAN501986596
DLNLEG1189719,R09128392,SARLAHI PLASTIC PRODUCTS PVT. LTD.,,,-9859060569,,,sarlahiplasticproducts609@outlook.com,,SARLAHI PLASTIC PRODUCTS PVT. LTD.,PAN240743444
DLNIND5461679,R01116404,Shiva,Bikram,Pandey,-9863651238,Shiva Bikram Pandey,na@nicasiabank.com,shiva950@gmail.com,M,Shiva Bikram Pandey,PAN499792774
DLNLEG2158354,C00082152,SINDHULI AGRO PVT. LTD.,,,-9823552149,,,sindhuliagro348@outlook.com,,SINDHULI AGRO PVT. LTD.,PAN281141916
DLNLEG1337370,C00058395,ROLPA CONSTRUCTIONS PVT. LTD.,,,-9842730869,BARDIA BUILDERS PVT. LTD.,,rolpaconstructions648@outlook.com,,ROLPA CONSTRUCTIONS PVT. LTD.,PAN324979852
DLNIND2035752,R01566002,Anushikha,Saraswati,Shrestha,-9899811149,Anushikha Saraswati Shrestha,NA@NICASIABANK.COM,anushikha296@gmail.com,F,Anushikha Saraswati Shrestha,PAN630828841
DLNIND1568693,R02169468,Srijeet,Prasad,Tamang,-9848236604,Srijeet Prasad Tamang,NA@NICASIABANK.COM,srijeet619@gmail.com,M,Srijeet Prasad Tamang,PAN651060348
DLNLEG6566454,C00004426,PARSA TRADING PVT. LTD.,,,-9811736085,KANCHANJUNGA LOGISTICS PVT. LTD.,,parsatrading914@outlook.com,,PARSA TRADING PVT. LTD.,PAN491523472
