First Name,Middle Name,Surname,Full Name,Gender,Relation
Shreya,Devi,Bhandari,Shreya Devi Bhandari,Female,Wife
Sunita,Maya,Rai,Sunita Maya Rai,Female,Wife
Sapana,Devi,Thapa,Sapana Devi Thapa,Female,Mother
Sabita,Kumari,Bhandari,Sabita Kumari Bhandari,Female,Wife
Sabita,Laxmi,Thapa,Sabita Laxmi Thapa,Female,Mother
Raj,Lal,Karki,Raj Lal Karki,Male,Husband
Sapana,Laxmi,Shrestha,Sapana Laxmi Shrestha,Female,Mother
Prasant,Bahadur,Karki,Prasant Bahadur Karki,Male,Father
Gita,,Sherpa,Gita Sherpa,Female,Mother
Anil,Prasad,Gurung,Anil Prasad Gurung,Male,Husband
Dev,Raj,Sherpa,Dev Raj Sherpa,Male,Husband
Raj,Man,Karki,Raj Man Karki,Male,Husband
Anil,,Sherpa,Anil Sherpa,Male,Husband
Raj,Raj,Shrestha,Raj Raj Shrestha,Male,Father
Abhaya,Singh,K.C.,Abhaya Singh K.C.,Male,Husband
Shreya,Rani,Bhandari,Shreya Rani Bhandari,Female,Wife
Shreya,Kumari,Karki,Shreya Kumari Karki,Female,Mother
Ram,Krishna,Tamang,Ram Krishna Tamang,Male,Father
Praful,Raj,Karki,Praful Raj Karki,Male,Father
Sita,Maya,K.C.,Sita Maya K.C.,Female,Mother
Safal,Singh,K.C.,Safal Singh K.C.,Male,Husband
Sabita,,Maharjan,Sabita Maharjan,Female,Wife
Sita,Laxmi,K.C.,Sita Laxmi K.C.,Female,Mother
Gita,Maya,Bhandari,Gita Maya Bhandari,Female,Wife
Sabita,Rani,Bhandari,Sabita Rani Bhandari,Female,Wife
Dev,,Karki,Dev Karki,Male,Husband
Praful,Krishna,Tamang,Praful Krishna Tamang,Male,Husband
Ram,Prasad,K.C.,Ram Prasad K.C.,Male,Father
Moni,,Tamang,Moni Tamang,Female,Mother
Sunita,Rani,Gurung,Sunita Rani Gurung,Female,Wife
Sita,Rani,Gurung,Sita Rani Gurung,Female,Wife
Abhaya,Man,K.C.,Abhaya Man K.C.,Male,Father
Mina,Maya,Rai,Mina Maya Rai,Female,Wife
Raj,Man,Sherpa,Raj Man Sherpa,Male,Husband
Mina,Kumari,Sherpa,Mina Kumari Sherpa,Female,Mother
Gita,,Timalsina,Gita Timalsina,Female,Mother
Sita,Devi,Bhandari,Sita Devi Bhandari,Female,Wife
Kiran,Kumar,Gurung,Kiran Kumar Gurung,Male,Father
Anil,Singh,Gurung,Anil Singh Gurung,Male,Husband
Safal,Kumar,Bhandari,Safal Kumar Bhandari,Male,Husband
Mina,Rani,Karki,Mina Rani Karki,Female,Wife
Moni,Laxmi,Sherpa,Moni Laxmi Sherpa,Female,Wife
Dipak,Singh,Shrestha,Dipak Singh Shrestha,Male,Father
Gita,,Tamang,Gita Tamang,Female,Mother
Hari,Krishna,K.C.,Hari Krishna K.C.,Male,Husband
Sabita,Rani,Timalsina,Sabita Rani Timalsina,Female,Mother
Moni,,Shrestha,Moni Shrestha,Female,Wife
Shreya,Kumari,Bhandari,Shreya Kumari Bhandari,Female,Wife
Shreya,Devi,Karki,Shreya Devi Karki,Female,Wife
Anil,Kumar,K.C.,Anil Kumar K.C.,Male,Father
Ram,Lal,Maharjan,Ram Lal Maharjan,Male,Husband
Anil,Man,Shrestha,Anil Man Shrestha,Male,Father
Dipak,,Maharjan,Dipak Maharjan,Male,Husband
Shreya,Laxmi,Timalsina,Shreya Laxmi Timalsina,Female,Wife
Shreya,,Gurung,Shreya Gurung,Female,Wife
Shreya,Laxmi,Karki,Shreya Laxmi Karki,Female,Wife
