acid,acid_t,cif_id,foracid,foracid_t,pan,acct_num,acct_name
Q39620558,AC10370877,DLNIND1406504,2635752944296001,FA9627239668220084,PAN668645879,272396682200,Humacanta Bipin Thapa
Y110180600,AC41672289,DLNIND4211643,3414659520992004,FA3302344775994664,PAN697945863,023447759946,Sriti Kumari Thapa
O93531058,AC73584145,DLNIND4211643,O987952099252401,FA5553585851915269,PAN697945863,535858519152,Sriti Kumari Thapa
32559774,AC12345718,DLNLEG9334212,3241157797524004,FA2582732553674743,PAN353089449,827325536747,PALPA HEALTHCARE PVT. LTD.
889280082,AC47235600,DLNLEG6576494,0884459092002067,FA7171012596574289,PAN813377590,710125965742,
V710183913,AC87964693,DLNIND1138256,317TD50264434029,FA8416326642901529,PAN372339539,163266429015,Kalyan Gopal Maharjan
T29090477,AC86620232,DLNLEG6450861,2924150518347030,FA4245394524373538,PAN747791463,453945243735,SUNSARI DIGITAL PVT. LTD.
095980734,AC36353590,DLNIND8257521,0095751131729001,FA3894074676824838,PAN873721196,940746768248,Juna Saraswati Neupane
O88940462,AC56171849,DLNLEG7996075,2484150086423001,FA6855771139726810,PAN914688823,557711397268,
V75502574,AC44191554,DLNLEG5646672,3174150033937002,FA2922467209225100,PAN280369345,224672092251,
Q56785716,AC77622473,DLNIND2035752,2655751566002001,FA6448124233335340,PAN630828841,481242333353,Anushikha Saraswati Shrestha
N85649548,AC68378114,DLNIND9611726,2385750960980001,FA7242713779079212,PAN153589712,427137790792,Dipika Saraswati Adhikari
F14050091,AC33718096,DLNLEG9370940,F141000445852402,FA5129878673917499,PAN931349773,298786739174,BIRGUNJ CHEMICALS PVT. LTD.
J03301277,AC12958383,DLNLEG6450861,J041051834752401,FA2657278224353274,PAN747791463,572782243532,SUNSARI DIGITAL PVT. LTD.
M49280489,AC43832263,DLNLEG6576494,2244459092002074,FA1587595161892639,PAN813377590,875951618926,
097155579,AC67171098,DLNIND6686056,0095751731860001,FA6020817293434974,PAN871531890,208172934349,Hemraj Bibek Karki
091214718,AC64920564,DLNLEG8098419,0941403211524001,FA5008571549131624,PAN954062163,085715491316,
312853288,AC54451553,DLNIND3744151,3187974929752401,FA9810919211311584,PAN143048430,109192113115,Buddhiraj Bibek Thakuri
A510412239,AC85186095,DLNIND3744151,1054659749297002,FA8171066629722318,PAN143048430,710666297223,Buddhiraj Bibek Thakuri
O94879761,AC10721952,DLNIND7445925,2495759558239001,FA9872357283490938,PAN409564003,723572834909,Abid Gopal Khadka
R35188385,AC43537506,DLNIND5644007,2735750771966001,FA9527324452322605,PAN695591077,273244523226,Vawesh Lal Bhandari
I66672834,AC80009918,DLNLEG6450861,1864150518347004,FA9001284726273525,PAN747791463,012847262735,SUNSARI DIGITAL PVT. LTD.
22561842,AC89686122,DLNLEG9678391,2241132679524001,FA1469165935828164,PAN432548863,691659358281,KAILASH PRINTING PRESS PVT. LTD.
36549724,AC64318161,DLNIND8738953,3614283925524001,FA1857528018019354,PAN401676066,575280180193,Sahil Bahadur Yadav
A55596382,AC69249356,DLNLEG5022872,1054150036463002,FA3871138113569526,PAN582125869,711381135695,HIMALAYAN CONSULTANCY PVT. LTD.
